,country_name,ccode,facility_name,facility_ambiguity,enr_type,size,construction_start,construction_end,operation_start,operation_end,operation2_start,operation2_end,covert,iaea,regional,military,military_ambiguity,multinational,foreign_assistance,foreign_assistance_ambiguity,total_years_spent
30,China,710,"Lanzhou (RPP), Gansu",0,1,2,1997,2006,2006,7777,,,0,0,0,0,0,0,0,0,9
31,China,710,"Lanzhou 1 (China Institute of Atomic Energy Tuoli, Plant 504)",0,2,3,1958,1963,1963,2000,,,1,0,0,1,0,0,1,0,5
32,China,710,"Lanzhou 2, Gansu",0,3,3,1997,2001,2001,7777,,,0,1,0,0,0,0,1,0,4
33,China,710,Lanzhou 3 (Indigenous Centrifuge Plant I),0,3,2,2007,2010,2010,7777,,,0,0,0,0,0,0,0,0,3
35,China,710,"Plant 821 (Plutonium Production Complex in Guangyuan, Sichuan)",0,1,3,1969,1976,1976,1989,,,1,0,0,1,0,0,0,0,7
37,Egypt,651,Hot Cell Facility at Inshas Nuclear Research Center,1,1,1,1980,1982,1982,7777,,,1,1,0,1,1,0,1,0,2
39,France,220,Areva NC La Hague – UP2 – 400 (renamed HAO facility in 1976),0,1,3,1961,1967,1967,2004,,,0,1,1,1,0,0,0,0,6
40,France,220,Areva NC La Hague – UP2 – 800 ,0,1,3,1982,1994,1994,7777,,,0,1,1,0,0,0,0,0,12
41,France,220,Areva NC La Hague – UP3,0,1,3,1982,1990,1990,7777,,,0,1,1,0,0,0,0,0,8
45,France,220,La Hague (Marcoule-UP1),0,1,3,1952,1958,1958,1997,,,0,0,0,1,0,0,0,0,6
48,France,220,FONTENAY: BÂTIMENT RADIOCHIMIE (Building 18),1,1,1,1959,1961,1961,1995,,,0,0,0,1,1,0,0,0,2
50,France,220,Fontenay Pilot Reprocessing Plant,0,1,2,1952,1954,1954,1957,,,0,0,0,1,1,0,0,0,2
51,France,220,Experimental Reprocessing Facility (Building 211),0,1,2,1960,1968,1968,1997,,,0,0,0,1,1,0,0,0,8
52,France,220,Eurodif (Georges Besse I),0,2,3,1974,1979,1979,2012,,,0,1,1,0,0,1,1,1,5
53,France,220,Georges Besse II—North Plant,0,3,3,2006,2009,2009,7777,,,0,1,1,0,0,1,1,0,3
55,France,220,PL81 Grenoble,0,5,2,1968,1974,1974,1984,,,1,0,0,1,1,0,0,0,6
59,France,220,Pierrelate GDP,0,2,3,1960,1964,1964,1996,,,0,0,0,1,0,0,0,0,4
61,France,220,PP35 Pierrelatte,0,5,2,1968,1974,1974,1985,,,1,0,0,1,1,0,0,0,6
62,Germany,260,Enrichment Technology Company Ltd. Zweigniederlassung Deutschland,1,3,1,1960,1964,1964,7777,,,0,1,1,0,0,1,1,1,4
64,Germany,260,"Karlsruhe Nuclear Research Center, Institute for Nuclear Process Engineering",0,6,2,1960,1967,1967,1989,,,0,1,1,0,0,0,0,0,7
65,Germany,260,Karlsruhe Reprocessing Plant (WAK),0,1,2,1967,1971,1971,1991,,,0,1,1,0,0,0,0,0,4
66,Germany,260,MILLI Reprocessing Test Facility,0,1,2,1965,1971,1971,1991,,,0,1,1,0,0,0,0,0,6
67,Germany,260,Plutonium Test Extraction Facility (Reprocessing Plant Karlsruhe),0,1,2,1977,1982,1982,1991,,,0,1,1,0,0,0,0,0,5
68,Germany,260,"Urenco Germany GmbH, Gronau",0,3,3,1982,1985,1985,7777,,,0,1,1,0,0,1,1,0,3
70,India,750,"BARC, Trombay (Pilot)",0,3,2,1980,1985,1985,7777,,,1,0,0,0,0,0,0,0,5
71,India,750,"BARC, Laser Enrichment Plant",1,7,1,1982,1993,1993,7777,,,0,0,0,0,0,0,0,0,11
73,India,750,"Center for Advanced Technology, Laser Enrichment Plant",1,7,1,1984,1986,1986,7777,,,0,0,0,0,0,0,0,0,2
74,India,750,Fast Reactor Fuel Reprocessing Plant (FRFRP),0,1,2,2000,2011,2011,7777,,,0,0,0,0,1,0,0,0,11
77,India,750,Lead Minicell Facility at Kalpakkam (Coral—Compact Reprocessing facility for Advanced fuels in Lead cells),0,1,2,2001,2003,2003,7777,,,0,0,0,0,0,0,0,0,2
78,India,750,"Power Reactor Fuel Reprocessing (PREFRE), Bhabha Atomic Research Centre",0,1,3,1969,1977,1977,7777,,,0,0,0,0,1,0,0,0,8
79,India,750,"Rattehalli Materials Plant, Mysore",0,3,2,1986,1991,1991,7777,,,1,0,0,1,0,0,0,0,5
81,Iran,630,Natanz Fuel Enrichment Plant (FEP),0,3,3,2001,2006,2006,7777,,,1,1,0,1,1,0,1,0,5
82,Iran,630,Fordow Uranium Enrichment Facility (Qom-FEEP),0,3,2,2006,2011,2011,7777,,,1,1,0,1,0,0,0,0,5
84,Iran,630,Kalaye Electric Company,0,3,1,1995,1998,1998,2003,,,1,1,0,1,1,0,1,0,3
85,Iran,630,Lashkar Ab’ad,0,7,2,2000,2002,2002,2003,,,1,1,0,1,1,0,1,0,2
86,Iran,630,"Molybdunum, Iodine and Xenon Radioisotope Production (MIX) Facility",-77,1,1,1987,2005,9999,9999,,,1,1,0,1,1,0,0,0,18
87,Iran,630,Tehran Nuclear Research Center (Reprocessing),0,1,1,1967,1974,1974,1993,,,0,1,0,1,1,0,1,0,7
88,Iran,630,Tehran Nuclear Research Center (Enrichment),1,7,1,1991,1993,1993,2000,,,0,1,0,1,1,0,1,0,2
92,Iraq,645,Al Tuwaitha Hot Cell,0,1,1,1982,1990,1990,1991,,,1,0,0,1,0,0,0,0,8
94,Iraq,645,Al Tarmiya (north of Baghdad),0,4,2,1982,1990,1990,1991,,,1,0,0,1,0,0,1,0,8
97,Iraq,645,Laboratory Reprocessing Facility (Radiochemistry Laboratory),0,1,1,1979,1982,1982,1991,,,1,0,0,1,0,0,1,0,3
99,Israel,666,"Negev Nuclear Research Center, Dimona Machon 8",0,3,3,1958,1979,1979,7777,,,1,0,0,1,0,0,0,0,21
100,Israel,666,"Negev Nuclear Research Center, Dimona Machon 9",0,7,1,1972,1974,1974,7777,,,1,0,0,1,0,0,0,0,2
