,name,disaster,total_cpi_adjusted_cost_by_millions,deaths,begin_year,begin_month,begin_day,end_year,end_month,end_day,begin_date,end_date
158,Midwest/Northeast Severe Storms and Flooding ,Severe Storm,1271,0,2010,07,20,2010,07,23,2010-07-20,2010-07-23
159,Arizona Severe Weather ,Severe Storm,5092,0,2010,10,05,2010,10,06,2010-10-05,2010-10-06
160,Groundhog Day Blizzard ,Winter Storm,2386,36,2011,02,01,2011,02,03,2011-02-01,2011-02-03
161,Midwest/Southeast Tornadoes and Derecho ,Severe Storm,3608,9,2011,04,04,2011,04,05,2011-04-04,2011-04-05
162,Southeast/Midwest Tornadoes ,Severe Storm,2833,0,2011,04,08,2011,04,11,2011-04-08,2011-04-11
163,Midwest/Southeast Tornadoes ,Severe Storm,2677,38,2011,04,14,2011,04,16,2011-04-14,2011-04-16
164,Ohio Valley Derecho and Southern Tornadoes ,Severe Storm,1349,0,2011,04,19,2011,04,20,2011-04-19,2011-04-20
165,Southeast/Ohio Valley/Midwest Tornadoes ,Severe Storm,13288,321,2011,04,25,2011,04,28,2011-04-25,2011-04-28
166,Midwest/Southeast Tornadoes ,Severe Storm,11735,177,2011,05,22,2011,05,27,2011-05-22,2011-05-27
167,Mississippi River flooding ,Flooding,3972,7,2011,04,01,2011,05,31,2011-04-01,2011-05-31
168,Midwest/Southeast Tornadoes and Severe Weather ,Severe Storm,1983,3,2011,06,18,2011,06,22,2011-06-18,2011-06-22
169,Missouri River flooding ,Flooding,2663,5,2011,05,01,2011,06,30,2011-05-01,2011-06-30
170,North Central Severe Weather ,Severe Storm,1146,0,2011,07,01,2011,07,01,2011-07-01,2011-07-01
171,Rockies and Midwest Derecho ,Severe Storm,1593,2,2011,07,10,2011,07,11,2011-07-10,2011-07-11
172,Midwest/Southeast Severe Weather ,Severe Storm,1485,0,2011,08,17,2011,08,18,2011-08-17,2011-08-18
173,Hurricane Irene ,Tropical Cyclone,17407,45,2011,08,26,2011,08,28,2011-08-26,2011-08-28
174,Southern Plains/Southwest Drought and Heat Wave ,Drought,15913,95,2011,03,01,2011,08,31,2011-03-01,2011-08-31
175,Tropical Storm Lee ,Tropical Cyclone,3241,21,2011,09,01,2011,09,05,2011-09-01,2011-09-05
176,Northeastern Winter Storm ,Winter Storm,1193,1,2011,10,29,2011,10,30,2011-10-29,2011-10-30
177,"Texas, New Mexico, Arizona Wildfires ",Wildfire,2349,5,2011,06,01,2011,11,30,2011-06-01,2011-11-30
178,Southeast/Ohio Valley Tornadoes ,Severe Storm,3974,42,2012,03,02,2012,03,03,2012-03-02,2012-03-03
179,Texas Tornadoes ,Severe Storm,1289,0,2012,04,02,2012,04,03,2012-04-02,2012-04-03
180,Midwest Tornadoes ,Severe Storm,1427,6,2012,04,13,2012,04,14,2012-04-13,2012-04-14
181,Midwest/Ohio Valley Severe Weather ,Severe Storm,4161,1,2012,04,28,2012,05,01,2012-04-28,2012-05-01
182,Southern Plains/Midwest/Northeast Severe Weather ,Severe Storm,2926,1,2012,05,25,2012,05,30,2012-05-25,2012-05-30
183,Rockies/Southwest Severe Weather ,Severe Storm,3299,0,2012,06,06,2012,06,12,2012-06-06,2012-06-12
184,Plains/East/Northeast Derecho ,Severe Storm,3668,28,2012,06,29,2012,07,02,2012-06-29,2012-07-02
185,Hurricane Isaac ,Tropical Cyclone,3510,9,2012,08,26,2012,08,31,2012-08-26,2012-08-31
186,Hurricane Sandy ,Tropical Cyclone,81950,159,2012,10,30,2012,10,31,2012-10-30,2012-10-31
187,Western Wildfires ,Wildfire,2208,8,2012,06,01,2012,11,30,2012-06-01,2012-11-30
188,U.S. Drought/Heat Wave ,Drought,38704,123,2012,01,01,2012,12,31,2012-01-01,2012-12-31
189,Southern Severe Weather ,Severe Storm,1162,1,2013,02,24,2013,02,25,2013-02-24,2013-02-25
190,Southeast Severe Weather ,Severe Storm,2545,1,2013,03,18,2013,03,18,2013-03-18,2013-03-18
191,Midwest/Plains Severe Weather ,Severe Storm,1819,1,2013,04,07,2013,04,11,2013-04-07,2013-04-11
192,Illinois Flooding and Severe Weather ,Flooding,1357,4,2013,04,16,2013,04,19,2013-04-16,2013-04-19
193,Midwest/Plains/East Tornadoes ,Severe Storm,3000,27,2013,05,18,2013,05,22,2013-05-18,2013-05-22
194,Midwest/Plains/Northeast Tornadoes ,Severe Storm,2267,10,2013,05,27,2013,05,31,2013-05-27,2013-05-31
195,Midwest Severe Weather ,Severe Storm,1302,0,2013,08,06,2013,08,07,2013-08-06,2013-08-07
196,Colorado Flooding ,Flooding,1886,9,2013,09,10,2013,09,16,2013-09-10,2013-09-16
197,Ohio Valley Tornadoes ,Severe Storm,1363,8,2013,11,17,2013,11,17,2013-11-17,2013-11-17
198,Western/Plains Drought/Heat Wave ,Drought,13241,53,2013,03,01,2013,11,30,2013-03-01,2013-11-30
199,Midwest/Southeast/Northeast Winter Storm ,Winter Storm,2716,16,2014,01,05,2014,01,08,2014-01-05,2014-01-08
200,Plains Severe Weather ,Severe Storm,1766,0,2014,04,02,2014,04,03,2014-04-02,2014-04-03
